Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_link,-0.00366836214548078,0.0100351220466308,-0.0582695185384578,0,0,0,0.07724048244869,0.000101332803159236,5.22902235015808E-07,1.20726884115198E-05,0.000136222618163526,-3.01645093590786E-06,5.12107329705167E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_link.STL,,MH2.25-V3.0-01R-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hand_ee_link,2.48510213245214E-19,-8.08284973285247E-18,0,0,0,0,5.65450977765344E-06,6.36132349986013E-12,1.02095031724641E-27,1.77777916866184E-27,1.49608904533747E-11,2.82709899475033E-29,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_ee_link.STL,,MH2.25-V3.0-13-2,h1,a0,right_hand_ee_joint,fixed,0,0,-0.065,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_back_link,-0.00149243508011096,-0.0140081556490721,0.000647100828228067,0,0,0,2.02807667330984E-07,1.3863240565281E-10,-3.78531951879077E-13,-1.3746720608559E-12,2.8655506600278E-10,-1.58620248991374E-13,1.63565673530919E-10,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_back_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_back_link.STL,,MH2.25-V3.0-02R-1,h1,a0,right_hand_back_joint,fixed,0,0,-0.065,0,0,0,right_hand_link,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_bend_link,0.0144358799903648,-0.00116534489100676,-5.40665183231849E-05,0,0,0,0.0036584646089849,2.00271654235393E-07,-2.39985871295219E-09,9.96868311132212E-09,4.68578095484485E-07,-3.42361767129393E-10,4.7372240217704E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_bend_link.STL,,MH2.25-V3.0-03R-1,rt1,b1,right_hand_thumb_bend_joint,revolute,0.0228,0.0095,-0.0305,0,0,0,right_hand_link,0,0,1,1.1,8.63,0,1.832,,,0,0,,,,
right_hand_thumb_rota_link1,0.0287681482733488,-0.00036176529547633,-0.00133929681686046,0,0,0,0.0308876878438021,3.75039586366846E-06,2.00651413272093E-06,7.76075006948414E-09,9.76689698934839E-06,1.08185674813547E-08,1.1361965605483E-05,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link1.STL,,MH2.25-V3.0-04R-1,rt2,b2,right_hand_thumb_rota_joint1,revolute,0.028599,0.0083177,0.00178,0.2618,0,0.0407,right_hand_thumb_bend_link,0,1,0,1.1,8.63,-0.698,1.745,,,0,0,,,,
right_hand_thumb_rotaback_link1,-0.0296289408411864,0.0014334239435258,0.00759117850867843,0,0,0,5.969045053832E-08,1.50180553865172E-11,-1.64175850582617E-12,1.4201553801068E-12,1.45418120099956E-11,-5.45249304173025E-13,2.18957156074307E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link1.STL,,MH2.25-V3.0-05R-1,rt3,b3,right_hand_thumb_rotaback_joint1,fixed,0.0553000000000007,0,0,0,0,0,right_hand_thumb_rota_link1,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_rota_link2,0.0225340009927979,-0.000881600697645881,-0.000614548321208525,0,0,0,0.0162722950838095,1.31453107903069E-06,3.03513016551792E-07,-9.14494476090304E-09,3.54409842635292E-06,7.84134420737839E-09,4.28242968837117E-06,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_link2.STL,,MH2.25-V3.0-06R-1,rt3,b3,right_hand_thumb_rota_joint2,revolute,0.0553,0,0,0,0,0,right_hand_thumb_rota_link1,0,1,0,0.4,14.38,0,1.745,,,0,0,,,,
right_hand_thumb_rotaback_link2,-0.0258393463672562,-0.000532639688528967,0.00924631171368789,0,0,0,3.52192743862187E-08,4.99162462169772E-12,3.77027122177893E-13,-4.2733234774343E-13,7.0636360308358E-12,5.04269751508486E-14,1.12541154989756E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rotaback_link2.STL,,MH2.25-V3.0-07R-1,rt4,b4,right_hand_thumb_rotaback_joint2,fixed,0.0502276499414862,0,0,0,0,0,right_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_thumb_rota_tip,8.32667268468867E-17,-8.67361737988404E-19,-5.55111512312578E-17,0,0,0,5.65450977765345E-06,1.49608904533747E-11,-1.32803068197656E-25,2.75302695081617E-28,6.36132349986013E-12,5.35163238101934E-27,1.49608904533748E-11,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_thumb_rota_tip.STL,,MH2.25-V3.0-13-3,rt4,b4,right_hand_thumb_rota_joint3,fixed,0.0502276499414862,0,0,0,0,0,right_hand_thumb_rota_link2,0,0,0,,,,,,,0,0,,,,
right_hand_index_bend_link,0.000118997558760787,-0.000715851164577269,-0.0111903014853532,0,0,0,0.00843231994047529,8.79801957514404E-07,-9.22849634312268E-10,-1.44292735624712E-09,7.89331588759821E-07,6.12774862814542E-10,4.276317007006E-07,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_index_bend_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_right/meshes/right_hand_index_bend_link.STL,,MH2.25-V3.0-08-1,rif1,c1,right_hand_index_bend_joint,revolute,0.0265,0.0065,-0.0899,0,0,0,right_hand_link,0,-1,0,0.4,14.38,-0.174,0.174,,,0,0,,,,
